,partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
12250,6126,1,Cruzeiro,12,2,40.0,425,81.0,20,3,0,0,7
12251,6126,1,Gremio,6,2,60.0,649,86.0,15,1,1,3,4
12252,6127,1,Vitoria,21,6,66.0,545,88.0,24,3,0,2,4
12253,6127,1,Flamengo,10,5,34.0,286,72.0,10,2,1,2,5
12254,6128,1,Santos,22,3,54.0,532,90.0,7,0,0,1,4
12255,6128,1,Ceara,10,2,46.0,472,85.0,5,1,0,0,2
12256,6129,1,America-MG,14,4,38.0,363,76.0,11,1,0,4,2
12257,6129,1,Sport,15,5,62.0,580,85.0,12,3,0,3,6
12258,6130,1,Vasco,19,7,67.0,596,88.0,11,4,0,3,9
12259,6130,1,Atletico-MG,11,6,33.0,321,78.0,18,3,0,3,3
12260,6131,1,Internacional,13,4,45.0,412,75.0,16,2,0,1,4
12261,6131,1,Bahia,12,2,55.0,491,82.0,18,0,0,1,3
12262,6132,1,Fluminense,13,3,35.0,293,73.0,15,0,0,0,2
12263,6132,1,Corinthians,11,2,65.0,515,84.0,14,0,0,0,6
12264,6133,1,Athletico-PR,18,8,70.0,646,92.0,10,1,0,3,3
12265,6133,1,Chapecoense,14,1,30.0,271,77.0,16,3,0,1,9
12266,6134,1,Parana,7,1,48.0,446,84.0,15,2,0,2,7
12267,6134,1,Sao Paulo,10,5,52.0,480,86.0,20,4,0,3,7
12268,6135,1,Botafogo-RJ,13,3,46.0,409,80.0,7,1,0,0,8
12269,6135,1,Palmeiras,7,4,54.0,498,81.0,23,4,0,0,3
12270,6136,2,Santos,8,2,46.0,352,80.0,21,3,0,5,6
12271,6136,2,Bahia,12,5,54.0,395,84.0,29,4,0,2,7
12272,6137,2,Flamengo,14,5,49.0,345,82.0,15,1,0,1,6
12273,6137,2,America-MG,18,5,51.0,345,79.0,17,1,0,0,12
12274,6138,2,Corinthians,9,4,52.0,467,82.0,16,1,0,1,2
12275,6138,2,Parana,17,6,48.0,413,84.0,16,1,0,2,5
12276,6139,2,Ceara,14,3,51.0,497,85.0,12,1,0,1,7
12277,6139,2,Sao Paulo,11,3,49.0,476,86.0,7,1,0,1,7
12278,6140,2,Atletico-MG,12,5,61.0,497,86.0,22,2,0,6,6
12279,6140,2,Vitoria,11,3,39.0,321,78.0,19,4,0,1,5
12280,6141,2,Fluminense,3,1,31.0,273,69.0,13,3,1,0,1
12281,6141,2,Cruzeiro,16,6,69.0,576,85.0,19,2,0,3,7
12282,6142,2,Vasco,17,4,64.0,559,84.0,8,2,0,2,3
12283,6142,2,Chapecoense,10,2,36.0,306,75.0,13,1,0,2,3
12284,6143,2,Palmeiras,13,2,44.0,390,79.0,14,2,0,0,8
12285,6143,2,Internacional,7,2,56.0,483,81.0,15,2,0,2,9
12286,6144,2,Gremio,22,6,49.0,587,86.0,9,3,0,3,7
12287,6144,2,Athletico-PR,7,1,51.0,602,85.0,15,2,1,1,4
12288,6145,2,Botafogo-RJ,10,1,49.0,375,77.0,15,3,0,0,7
12289,6145,2,Sport,20,11,51.0,391,77.0,14,1,0,2,10
12290,6146,3,Botafogo-RJ,19,6,56.0,464,85.0,14,1,0,0,10
12291,6146,3,Gremio,9,1,44.0,388,79.0,12,1,0,2,4
12292,6149,3,Chapecoense,7,0,28.0,237,71.0,17,6,0,2,1
12293,6149,3,Palmeiras,16,4,72.0,589,85.0,17,4,0,2,14
12294,6151,3,Corinthians,5,1,42.0,413,80.0,15,3,0,0,0
12295,6151,3,Atletico-MG,18,5,58.0,556,88.0,25,4,0,2,10
12296,6152,3,Sao Paulo,14,3,45.0,316,73.0,16,2,0,0,8
12297,6152,3,Fluminense,12,2,55.0,370,80.0,17,3,0,2,7
12298,6147,3,Athletico-PR,9,2,66.0,640,88.0,12,2,0,1,2
12299,6147,3,Bahia,23,7,34.0,334,83.0,22,2,0,2,8
12300,6148,3,Flamengo,18,7,52.0,431,86.0,12,2,0,3,5
12301,6148,3,Ceara,8,1,48.0,401,88.0,18,1,0,1,2
12302,6150,3,Sport,10,3,30.0,261,63.0,15,1,0,3,1
12303,6150,3,Parana,28,12,70.0,575,85.0,14,1,0,2,8
12304,6153,3,Internacional,22,6,59.0,462,83.0,15,4,0,5,18
12305,6153,3,Cruzeiro,8,0,41.0,350,77.0,14,3,0,1,4
12306,6154,3,America-MG,15,8,40.0,305,68.0,14,1,1,0,8
12307,6154,3,Vitoria,14,5,60.0,445,79.0,12,2,0,3,7
12308,6156,4,Vasco,18,7,67.0,557,86.0,14,4,0,5,3
12309,6156,4,America-MG,4,1,33.0,282,70.0,24,4,0,0,3
12310,6157,4,Atletico-MG,9,5,62.0,535,87.0,14,4,0,2,7
12311,6157,4,Sao Paulo,7,2,38.0,317,77.0,17,4,0,2,6
12312,6158,4,Ceara,4,3,38.0,380,82.0,20,4,0,3,2
12313,6158,4,Corinthians,14,4,62.0,585,89.0,12,2,0,2,12
12314,6159,4,Flamengo,17,7,58.0,470,86.0,12,5,0,1,6
12315,6159,4,Internacional,11,4,42.0,345,82.0,15,4,1,0,6
12316,6160,4,Botafogo-RJ,7,1,48.0,395,80.0,12,4,0,1,6
12317,6160,4,Cruzeiro,23,6,52.0,417,82.0,19,1,0,5,8
12318,6161,4,Palmeiras,15,6,38.0,389,77.0,15,2,0,1,6
12319,6161,4,Athletico-PR,9,4,62.0,619,89.0,10,1,0,3,3
12320,6162,4,Fluminense,18,4,66.0,517,84.0,7,1,0,1,9
12321,6162,4,Vitoria,7,1,34.0,274,72.0,18,2,0,3,3
12322,6163,4,Gremio,18,8,64.0,657,90.0,15,1,0,0,8
12323,6163,4,Santos,8,2,36.0,370,83.0,22,3,0,1,1
12324,6164,4,Bahia,7,1,53.0,393,78.0,21,1,1,0,7
12325,6164,4,Sport,20,9,47.0,343,76.0,18,1,0,1,9
12326,6165,4,Parana,18,3,47.0,338,71.0,16,2,1,1,4
12327,6165,4,Chapecoense,13,2,53.0,373,73.0,10,1,0,0,6
12328,6166,5,Internacional,5,1,22.0,212,65.0,24,4,0,0,1
12329,6166,5,Gremio,11,1,78.0,721,89.0,13,3,0,0,11
12330,6167,5,Cruzeiro,15,5,56.0,481,86.0,18,2,0,4,7
12331,6167,5,Sport,10,4,44.0,389,82.0,16,3,0,2,4
12332,6169,5,Vitoria,9,3,37.0,289,69.0,19,3,0,1,2
12333,6169,5,Vasco,20,7,63.0,472,80.0,16,2,0,1,7
12334,6170,5,Palmeiras,10,4,47.0,366,74.0,21,3,0,2,3
12335,6170,5,Corinthians,11,5,53.0,409,79.0,15,2,0,0,10
12336,6171,5,Sao Paulo,10,4,52.0,392,76.0,14,3,0,1,3
12337,6171,5,Bahia,11,5,48.0,378,78.0,20,5,0,1,3
12338,6172,5,Chapecoense,11,3,42.0,327,79.0,18,2,0,1,3
12339,6172,5,Flamengo,14,4,58.0,437,82.0,17,3,0,3,7
12340,6168,5,Athletico-PR,18,8,63.0,607,88.0,15,2,0,1,6
12341,6168,5,Atletico-MG,23,11,37.0,358,79.0,16,2,0,0,10
12342,6173,5,Santos,10,5,57.0,545,87.0,12,1,0,4,6
12343,6173,5,Parana,14,4,43.0,419,86.0,14,2,0,0,5
12344,6175,5,America-MG,11,4,35.0,287,68.0,18,3,0,3,2
12345,6175,5,Ceara,24,9,65.0,516,84.0,16,1,0,2,8
12346,6174,5,Botafogo-RJ,8,5,41.0,328,77.0,12,2,0,2,5
12347,6174,5,Fluminense,22,9,59.0,465,84.0,12,2,0,2,9
12348,6176,6,Atletico-MG,18,5,69.0,588,86.0,13,3,0,0,3
12349,6176,6,Cruzeiro,11,2,31.0,260,75.0,15,1,1,1,6
12350,6177,6,Vasco,16,7,39.0,298,76.0,24,3,2,0,11
12351,6177,6,Flamengo,11,3,61.0,462,82.0,16,2,2,3,6
12352,6178,6,Bahia,13,4,47.0,393,80.0,13,2,0,1,4
12353,6178,6,Palmeiras,14,6,53.0,438,80.0,17,3,0,4,5
12354,6179,6,Ceara,16,6,59.0,508,84.0,17,0,0,1,4
12355,6179,6,Vitoria,14,3,41.0,351,77.0,11,4,0,0,7
12356,6181,6,Botafogo-RJ,9,1,57.0,553,85.0,11,4,0,5,2
12357,6181,6,America-MG,14,2,43.0,422,81.0,20,2,0,1,5
12358,6182,6,Gremio,8,2,75.0,719,90.0,18,1,0,1,9
12359,6182,6,Parana,6,0,25.0,246,71.0,16,2,0,0,1
12360,6183,6,Sport,14,5,44.0,436,85.0,18,2,0,1,3
12361,6183,6,Corinthians,5,2,56.0,562,88.0,17,3,0,2,5
12362,6180,6,Sao Paulo,14,1,39.0,341,75.0,13,3,1,2,4
12363,6180,6,Santos,7,1,61.0,557,82.0,6,2,0,1,2
12364,6184,6,Fluminense,14,6,32.0,294,75.0,13,1,0,2,3
